iter	Passed	Remaining
0	150	150128
1	152	75878
2	153	51175
3	155	38802
4	158	31598
5	161	26739
6	163	23139
7	165	20465
8	166	18383
9	168	16705
10	171	15415
11	180	14825
12	202	15346
13	207	14594
14	213	13991
15	215	13282
16	218	12615
17	220	12035
18	225	11617
19	226	11107
20	229	10688
21	231	10301
22	235	9985
23	237	9672
24	241	9425
25	243	9105
26	245	8849
27	249	8644
28	251	8407
29	252	8165
30	254	7955
31	257	7779
32	259	7595
33	262	7454
34	265	7310
35	267	7158
36	269	7022
37	272	6890
38	274	6762
39	278	6680
40	279	6543
41	281	6420
42	286	6384
43	288	6277
44	293	6219
45	294	6115
46	296	6016
47	298	5921
48	300	5833
49	302	5742
50	304	5659
51	306	5582
52	308	5509
53	309	5427
54	311	5355
55	312	5265
56	313	5188
57	315	5121
58	317	5068
59	320	5022
60	323	4976
61	325	4926
62	327	4873
63	329	4819
64	332	4777
65	335	4753
66	338	4714
67	340	4665
68	342	4619
69	344	4577
70	347	4550
71	350	4512
72	351	4468
73	353	4427
74	355	4386
75	357	4349
76	359	4311
77	362	4288
78	365	4256
79	367	4227
80	370	4204
81	371	4161
82	373	4125
83	375	4096
84	378	4079
85	381	4052
86	385	4042
87	387	4011
88	390	3996
89	394	3988
90	397	3969
91	399	3945
92	402	3922
93	406	3914
94	408	3887
95	410	3867
96	411	3833
97	413	3807
98	415	3782
99	419	3779
100	440	3924
101	443	3900
102	445	3875
103	447	3854
104	450	3843
105	453	3825
106	455	3803
107	457	3780
108	459	3757
109	461	3736
110	465	3724
111	467	3706
112	469	3685
113	471	3665
114	473	3645
115	475	3625
116	477	3605
117	481	3600
118	483	3582
119	486	3564
120	488	3545
121	495	3565
122	509	3635
123	512	3618
124	514	3598
125	516	3580
126	518	3567
127	521	3552
128	524	3544
129	527	3527
130	529	3510
131	532	3499
132	536	3498
133	538	3478
134	540	3465
135	542	3447
136	545	3434
137	548	3425
138	553	3426
139	558	3430
140	559	3409
141	562	3397
142	564	3382
143	565	3362
144	567	3348
145	569	3332
146	571	3316
147	573	3303
148	576	3289
149	578	3275
150	580	3261
151	582	3248
152	584	3238
153	595	3272
154	601	3281
155	605	3274
156	608	3269
157	611	3260
158	615	3253
159	617	3240
160	619	3226
161	621	3215
162	624	3205
163	626	3196
164	629	3183
165	631	3171
166	633	3158
167	636	3153
168	639	3144
169	641	3134
170	643	3122
171	645	3109
172	647	3097
173	653	3102
174	655	3092
175	657	3079
176	659	3068
177	661	3056
178	665	3052
179	669	3048
180	671	3037
181	673	3025
182	674	3013
183	677	3003
184	680	2999
185	682	2988
186	684	2977
187	686	2966
188	689	2957
189	691	2946
190	694	2941
191	697	2936
192	700	2927
193	702	2916
194	704	2906
195	707	2902
196	710	2895
197	712	2885
198	715	2881
199	717	2871
200	723	2874
201	725	2866
202	728	2859
203	731	2852
204	734	2847
205	737	2840
206	739	2832
207	748	2849
208	752	2846
209	754	2838
210	757	2833
211	759	2823
212	764	2823
213	765	2810
214	767	2801
215	769	2792
216	771	2783
217	773	2775
218	777	2772
